Date,Accounts,Value
2019-01-01,ACCOUNTS WORKED,225000
2019-02-01,ACCOUNTS WORKED,185000
2019-03-01,ACCOUNTS WORKED,138000
2019-04-01,ACCOUNTS WORKED,137000
2019-05-01,ACCOUNTS WORKED,150000
2019-06-01,ACCOUNTS WORKED,115000
2019-07-01,ACCOUNTS WORKED,100000
2019-08-01,ACCOUNTS WORKED,108000
2019-09-01,ACCOUNTS WORKED,90000
2019-10-01,ACCOUNTS WORKED,95000
2019-11-01,ACCOUNTS WORKED,80000
2019-12-01,ACCOUNTS WORKED,65000
2019-01-01,NOT WORKED,225000
2019-02-01,NOT WORKED,205000
2019-03-01,NOT WORKED,192000
2019-04-01,NOT WORKED,183000
2019-05-01,NOT WORKED,215000
2019-06-01,NOT WORKED,220000
2019-07-01,NOT WORKED,175000
2019-08-01,NOT WORKED,162000
2019-09-01,NOT WORKED,160000
2019-10-01,NOT WORKED,160000
2019-11-01,NOT WORKED,170000
2019-12-01,NOT WORKED,175000
